Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location,Longitude,Latitude
220008,2022,01/30/2023,Andover,618 ROUTE 6,139020.00,232000.00,0.5992,Residential,Single Family,,,,POINT (-72.343628962 41.728431984),-72.343628962,41.728431984
210317,2021,07/05/2022,Avon,53 COTSWOLD WAY,329730.00,805000.00,0.4096,Residential,Single Family,,,,POINT (-72.846365959 41.781677018),-72.846365959,41.781677018
22043,2022,03/15/2023,Beacon Falls,41 EDGEWOOD DRIVE,164170.00,285000.00,0.5760,Residential,Single Family,,,,POINT (-73.053071989 41.439434021),-73.053071989,41.439434021
220440,2022,02/16/2023,Branford,69 MONTOYA,84300.00,195000.00,0.4323,Residential,Condo,,,,POINT (-72.828043035 41.282226984),-72.828043035,41.282226984
210045,2021,04/29/2022,Bethlehem,89 LONG MEADOW RD,229900.00,561850.00,0.4091,Residential,Single Family,,,,POINT (-73.21257902 41.666959986),-73.21257902,41.666959986
210101,2021,12/20/2021,Bloomfield,43 LEDYARD AVE,111580.00,209000.00,0.5338,Residential,Single Family,,,,POINT (-72.690802027 41.821341986),-72.690802027,41.821341986
200086,2020,08/10/2021,Bethlehem,39 WOODLAND RD,168900.00,352000.00,0.4798,Residential,Single Family,,,,POINT (-73.18197 41.64672),-73.18197,41.64672
210035,2021,10/20/2021,Branford,25 QUARRY DOCK RD,208100.00,448000.00,0.4645,Residential,Condo,,,,POINT (-72.815906039 41.268214998),-72.815906039,41.268214998
210748,2021,01/14/2022,Bridgeport,360 VINCELLETTE ST,160776.00,315000.00,0.5104,Residential,Single Family,,,,POINT (-73.219385964 41.215379001),-73.219385964,41.215379001
211762,2021,06/21/2022,Bridgeport,38 RIVERVIEW DR,86990.00,247000.00,0.3521,Residential,Condo,,,,POINT (-73.223086993 41.213277993),-73.223086993,41.213277993
211997,2021,08/02/2022,Bridgeport,1963 MAIN ST,257910.00,500000.00,0.5158,Commercial,,,,,POINT (-73.196744012 41.189862979),-73.196744012,41.189862979
22000107,2022,12/22/2022,Cheshire,30 CURRIER PL,129150.00,265000.00,0.4873,Residential,Condo,,,,POINT (-72.92666501 41.53260998),-72.92666501,41.53260998
210530,2021,02/09/2022,Bristol,68 JUDSON AVENUE,76580.00,190000.00,0.403,Residential,Single Family,,,,POINT (-72.954410032 41.664379994),-72.954410032,41.664379994
220029,2022,04/20/2023,Cornwall,DAY RD,153100.00,190000.00,0.8057,Vacant Land,,,,,POINT (-73.35203565 41.782837297),-73.35203565,41.782837297
220054,2022,12/13/2022,Coventry,166 CEDAR SWAMP RD,114500.00,255000.00,0.4490,Residential,Single Family,,,,POINT (-72.413489023 41.80168701),-72.413489023,41.80168701
21055,2021,05/05/2022,Canterbury,159 BARSTOW RD,35700.00,70000.00,0.51,Vacant Land,,,,,POINT (-72.004670737 41.71535266),-72.004670737,41.71535266
220261,2022,07/13/2023,East Lyme,2 PEACH LN,465500.00,827000.00,0.5628,Residential,Single Family,,,,POINT (-72.243243015 41.370139989),-72.243243015,41.370139989
220058,2022,11/10/2022,East Lyme,338 MAIN ST,293580.00,770000.00,0.3812,Commercial,,,,,POINT (-72.254007024 41.309879452),-72.254007024,41.309879452
210098,2021,10/20/2021,Danbury,19 GLEN RD,202500.00,460000.00,0.4402,Residential,Single Family,,K09024,,POINT (-73.433336976 41.41978399),-73.433336976,41.41978399
220213,2022,01/03/2023,Greenwich,20 CHURCH STREET #A24,488530.00,775000.00,0.6303,Residential,Condo,,,,POINT (-73.626474968 41.032925002),-73.626474968,41.032925002
200194,2020,02/05/2021,East Lyme,5 ROCCO DR,170660.00,220000.00,0.7757,Vacant Land,,,,,POINT (-72.22025 41.3942),-72.22025,41.3942
200320,2020,05/10/2021,East Lyme,9 FREEDOM WAY,776230.00,1525000.00,0.509,Commercial,,,,,POINT (-72.24486 41.32183),-72.24486,41.32183
210176,2021,04/19/2022,East Hampton,10 LOWELL RD,153570.00,270000.00,0.5687,Residential,Single Family,,,,POINT (-72.490998997 41.594506983),-72.490998997,41.594506983
210278,2021,08/18/2022,Ellington,1 ABBOTT RD 131,79390.00,170000.00,0.467,Residential,Condo,,,,POINT (-72.496333994 41.871967005),-72.496333994,41.871967005
221007,2022,09/25/2023,Hamden,117 CUMPSTONE DR,144620.00,365000.00,0.3962,Residential,Single Family,,,,POINT (-72.906959994 41.401053998),-72.906959994,41.401053998
210721,2021,05/26/2022,Fairfield,59 GRACE STREET,235970.00,350000.00,0.6742,Residential,Single Family,,,,POINT (-73.231428998 41.172704008),-73.231428998,41.172704008
210771,2021,06/08/2022,Fairfield,33 REEF COURT,370160.00,625000.00,0.5922,Residential,Single Family,,,,POINT (-73.252361041 41.134042983),-73.252361041,41.134042983
210800,2021,06/17/2022,Fairfield,1991 POST ROAD,833000.00,1400000.00,0.595,Commercial,,,,,POINT (-73.266760983 41.140355981),-73.266760983,41.140355981
220715,2022,06/15/2023,Hartford,106 MOUNTAIN ST,65195.00,200000.00,0.3259,Residential,Single Family,10 - A Will,,,POINT (-72.702083985 41.730192016),-72.702083985,41.730192016
220049,2022,10/20/2022,Hartford,12 BELDEN ST,4970.00,15000.00,0.3313,Vacant Land,,,,,POINT (-72.677253016 41.775707007),-72.677253016,41.775707007
21200,2021,01/28/2022,Farmington,7 CYPRESS TRAIL,140950.00,260000.00,0.5421,Residential,Condo,,,,POINT (-72.875744027 41.731196),-72.875744027,41.731196
21101,2021,11/30/2021,Farmington,38 OAKLAND AV,137510.00,398500.00,0.345,Residential,Single Family,,,,POINT (-72.791588964 41.743265983),-72.791588964,41.743265983
220145,2022,03/15/2023,Killingly,106 MORIN AV,221760.00,560000.00,0.3960,Apartments,,,,,POINT (-71.881193999 41.817335981),-71.881193999,41.817335981
220166,2022,04/17/2023,Killingly,30 FORBES RD,10474800.00,48075000.00,0.2178,Industrial,,,,,POINT (-71.907952974 41.859400017),-71.907952974,41.859400017
220082,2022,12/22/2022,Ledyard,51 EAGLE RIDGE DR,222460.00,357000.00,0.6231,Residential,Single Family,,,,POINT (-72.060653983 41.411611005),-72.060653983,41.411611005
21272,2021,04/06/2022,Guilford,137 OLD QUARRY RD,1260000.00,1600000.00,0.7875,Residential,Single Family,,,,POINT (-72.732482968 41.255499987),-72.732482968,41.255499987
220442,2022,03/24/2023,Meriden,8 JACKSON ST,124740.00,325000.00,0.3838,Residential,Four Family,,,,POINT (-72.795065023 41.543150014),-72.795065023,41.543150014
220527,2022,04/24/2023,Meriden,154 CROWN VLG,35840.00,85000.00,0.4216,Residential,Condo,,,,POINT (-72.802965877 41.533404056),-72.802965877,41.533404056
210221,2021,12/01/2021,Hamden,85 ARCH ST,124880.00,250000.00,0.4995,Residential,Two Family,,,,POINT (-72.938462036 41.338536987),-72.938462036,41.338536987
220671,2022,06/26/2023,Meriden,380 PARKER AVE SO,106330.00,280000.00,0.3797,Residential,Single Family,,,,POINT (-72.794597984 41.523247981),-72.794597984,41.523247981
210328,2021,12/27/2021,Hamden,288 DAVIS ST,129150.00,263000.00,0.491,Residential,Single Family,,,,POINT (-72.899764969 41.339431001),-72.899764969,41.339431001
220917,2022,09/18/2023,Meriden,436 BLACKSTONE VLG,51100.00,45000.00,1.1356,Residential,Condo,08 - Part Interest,,,POINT (-72.782444978 41.551544993),-72.782444978,41.551544993
200639,2020,07/28/2021,Groton,4 TYLER AVE,259770.00,650000.00,0.399646154,Residential,Single Family,,,,POINT (-72.07229 41.32148),-72.07229,41.32148
200020,2020,10/06/2020,Groton,98 EAST SHORE AVE,654570.00,990000.00,0.661181818,Residential,Single Family,07 - Change in Property,TEAR DOWN,,POINT (-72.00446 41.31252),-72.00446,41.31252
22020,2022,11/15/2022,Middlebury,97 RIDGEWOOD DR,326100.00,500000.00,0.6522,Residential,Condo,,,,POINT (-73.13603572 41.515436221),-73.13603572,41.515436221
2100369,2021,09/12/2022,Madison,119 ISLAND AVE,486100.00,1250000.00,0.3888,Residential,Condo,,,,POINT (-72.600743512 41.270568157),-72.600743512,41.270568157
210086,2021,12/10/2021,Madison,164 MIDDLE BEACH RD,1431600.00,2241000.00,0.638821954,Residential,Single Family,,,,POINT (-72.586913031 41.271236004),-72.586913031,41.271236004
210167,2021,05/13/2022,Mansfield,OLD TURNPIKE RD PAR B,50200.00,100000.00,0.502,Vacant Land,,,,,POINT (-72.24846462 41.831660405),-72.24846462,41.831660405
220165,2022,03/01/2023,New London,15 CENTER ST,117390.00,285000.00,0.4118,Residential,Two Family,,,,POINT (-72.106592009 41.360181994),-72.106592009,41.360181994
220197,2022,03/31/2023,New London,14 THAMES ST,119350.00,285000.00,0.4187,Residential,Single Family,,,,POINT (-72.097235961 41.33289299),-72.097235961,41.33289299
210776,2021,04/29/2022,New Britain,291 MAIN ST,89390.00,125000.00,0.7151,Commercial,,,,,POINT (-72.781545014 41.668287009),-72.781545014,41.668287009
210131,2021,11/04/2021,New Britain,96 COMMONWEALTH AVE,110180.00,232500.00,0.4738,Residential,Single Family,,,,POINT (-72.786102003 41.686449),-72.786102003,41.686449
2200377,2022,07/07/2023,New Milford,3 SILVER BIRCH RD,272760.00,567500.00,0.4806,Residential,Single Family,,SALES RATIO,,POINT (-73.363443973 41.593389004),-73.363443973,41.593389004
22018,2022,03/13/2023,Norfolk,35 PARKER HILL RD,138620.00,380000.00,0.3648,Residential,Single Family,,,,POINT (-73.187962041 41.918188004),-73.187962041,41.918188004
210130,2021,01/10/2022,New Canaan,258 ELM ST,6132140.00,13500000.00,0.4542,Commercial,,,,,POINT (-73.499010025 41.145406999),-73.499010025,41.145406999
22230,2022,06/02/2023,North Haven,15 LAYDON AVE,176370.00,331000.00,0.5328,Residential,Single Family,,,,POINT (-72.852195992 41.37679698),-72.852195992,41.37679698
22046,2022,06/28/2023,Chester,264 MIDDLESEX AVE,455970.00,900000.00,0.5066,Commercial,,,VETERINARY CLINIC OF CHESTER,,POINT (-72.450141996 41.428068998),-72.450141996,41.428068998
200038,2020,10/09/2020,Meriden,41 SUNNY LANE,209440.00,307000.00,0.6822,Residential,Single Family,,,,POINT (-72.79013 41.51639),-72.79013,41.51639
210574,2021,03/10/2022,New Haven,316 GRAND AV,225110.00,400000.00,0.5627,Commercial,,,,,POINT (-72.899930008 41.30848799),-72.899930008,41.30848799
220753,2022,07/19/2023,Norwich,26 WARD ST,86100.00,180000.00,0.4783,Residential,Single Family,,,,POINT (-72.083297024 41.519865003),-72.083297024,41.519865003
220300,2022,02/17/2023,Greenwich,2 MORTIMER DRIVE,927990.00,1850000.00,0.5016,Residential,Single Family,,,,POINT (-73.569801987 41.02801702),-73.569801987,41.02801702
210473,2021,08/25/2022,New London,85 WEST ST,75110.00,205000.00,0.3663,Residential,Single Family,,,,POINT (-72.10808097 41.361274995),-72.10808097,41.361274995
21136,2021,11/30/2021,Newtown,7 POSSUM RIDGE ROAD,243280.00,482500.00,0.5042,Residential,Single Family,,,,POINT (-73.327759026 41.402458009),-73.327759026,41.402458009
220049,2022,05/22/2023,Sharon,19 W MAIN ST,192800.00,475000.00,0.4058,Commercial,,,,,POINT (-73.477894 41.879076996),-73.477894,41.879076996
213294,2021,11/30/2021,North Haven,27 DODGE AVE,943640.00,1600000.00,0.5897,Commercial,,,,,POINT (-72.844654039 41.420292017),-72.844654039,41.420292017
210618,2021,05/23/2022,Norwich,114 SHERATON LN,37400.00,100000.00,0.374,Residential,Condo,,,,POINT (-72.120742003 41.509616995),-72.120742003,41.509616995
210923,2021,08/24/2022,Norwich,5 ROBBINS CT,106400.00,175000.00,0.608,Residential,Two Family,,,,POINT (-72.071522964 41.525827009),-72.071522964,41.525827009
220779,2022,06/23/2023,Milford,23 PEARL ST,254300.00,650000.00,0.3912,Residential,Single Family,,,,POINT (-73.065448037 41.201803),-73.065448037,41.201803
220981,2022,09/29/2023,New Haven,748 QUINNIPIAC AV #11,123130.00,250000.00,0.4925,Residential,Condo,,,,POINT (-72.884489034 41.31024798),-72.884489034,41.31024798
21134,2021,01/31/2022,Plainfield,25 ROODE RD,266650.00,950000.00,0.2806,Industrial,,,,,POINT (-71.949970029 41.635752987),-71.949970029,41.635752987
21220,2021,05/03/2022,Plainfield,131 SQUAW ROCK RD,145570.00,355000.00,0.41,Residential,Single Family,,,,POINT (-71.888253992 41.72605102),-71.888253992,41.72605102
220103,2022,03/30/2023,Suffield,19 STRATTON FARMS RD,79310.00,115000.00,0.6896,Vacant Land,,,,,POINT (-72.755304041 42.007039991),-72.755304041,42.007039991
21176,2021,03/09/2022,Plainville,180 S WASHINGTON ST,63840.00,360000.00,0.1773,Vacant Land,,,,,POINT (-72.874505014 41.659472013),-72.874505014,41.659472013
210047,2021,02/03/2022,Preston,153A ROUTE 12,151200.00,290000.00,0.5213,Residential,Single Family,,,,POINT (-72.061471973 41.47311498),-72.061471973,41.47311498
220345,2022,02/21/2023,Torrington,114 WORKMAN AVE,72730.00,150000.00,0.4848,Commercial,,,,,POINT (-73.134693035 41.806775998),-73.134693035,41.806775998
21291,2021,05/05/2022,Ridgefield,5 STANDISH DR,445440.00,900000.00,0.4949,Residential,Single Family,,,,POINT (-73.469619971 41.286827014),-73.469619971,41.286827014
220324,2022,04/26/2023,Wallingford,28 GEORGE ST,152500.00,390000.00,0.3910,Residential,Three Family,,,,POINT (-72.829340972 41.44998998),-72.829340972,41.44998998
220209,2022,12/22/2022,New Haven,545 ELLSWORTH AV,266070.00,390000.00,0.6822,Residential,Single Family,,,,POINT (-72.943520012 41.324899002),-72.943520012,41.324899002
220940,2022,04/06/2023,Waterbury,22 LISA COURT UNIT 5,32448.00,70000.00,0.4635,Residential,Condo,,,,POINT (-73.027556973 41.595491982),-73.027556973,41.595491982
21075,2021,11/15/2021,Southbury,887 SOUTHFORD RD,251170.00,462500.00,0.543,Residential,Single Family,,,,POINT (-73.18041003 41.472002995),-73.18041003,41.472002995
220822,2022,08/07/2023,New Haven,124 COURT ST #11,123410.00,235000.00,0.5251,Residential,Condo,,,,POINT (-72.923128015 41.306048018),-72.923128015,41.306048018
221296,2022,06/22/2023,Waterbury,61 OAK ST,76983.00,410000.00,0.1877,Residential,Two Family,,,,POINT (-73.023786961 41.559644007),-73.023786961,41.559644007
213533,2021,07/01/2022,Southbury,76 FAWN RIDGE CT,307910.00,712000.00,0.4324,Residential,Single Family,,,,POINT (-73.244940961 41.498778985),-73.244940961,41.498778985
220127,2022,02/06/2023,Avon,101 WILD WOOD DRIVE,482560.00,800000.00,0.6032,Residential,Single Family,,,,POINT (-72.898365023 41.796324016),-72.898365023,41.796324016
21070,2021,11/18/2021,Stafford,155 WALES RD,35140.00,34350.00,1.0229,Vacant Land,,,,,POINT (-72.252703856 42.016435568),-72.252703856,42.016435568
2101412,2021,05/02/2022,Stamford,11 BERTMOR DRIVE,389170.00,775000.00,0.5021,Residential,Single Family,,,,POINT (-73.533210034 41.097502998),-73.533210034,41.097502998
2102049,2021,07/28/2022,Stamford,91 STRAWBERRY HILL AVE #224,130350.00,145000.00,0.8989,Residential,Condo,,EXECUTOR'S DEED,,POINT (-73.532295988 41.063903007),-73.532295988,41.063903007
2102154,2021,08/12/2022,Stamford,49 HINCKLEY AVENUE,391700.00,740000.00,0.5293,Residential,Two Family,,,,POINT (-73.550913033 41.056668),-73.550913033,41.056668
2100154,2021,10/19/2021,Stamford,99 OLD BARN ROAD WEST,292910.00,530000.00,0.5526,Residential,Single Family,,,,POINT (-73.555591979 41.071525007),-73.555591979,41.071525007
220019,2022,10/18/2022,Windsor,324 KINGS LANDING,149450.00,350000.00,0.4270,Residential,Condo,,,,POINT (-72.673653994 41.821512013),-72.673653994,41.821512013
220900004,2022,09/06/2023,Woodbury,TUTTLE RD,56560.00,80000.00,0.7070,Vacant Land,,,,,POINT (-73.180912662 41.535985345),-73.180912662,41.535985345
220105,2022,11/14/2022,Hartford,67 CONGRESS AVE 067C,33773.00,125000.00,0.2702,Residential,Condo,,,,POINT (-72.676278033 41.753018997),-72.676278033,41.753018997
220644,2022,02/14/2023,Bridgeport,329 PEARL ST #331,168500.00,300000.00,0.5616,Residential,Three Family,,,,POINT (-73.177579964 41.195217004),-73.177579964,41.195217004
220060,2022,01/03/2023,East Windsor,108 RYE ST,108620.00,200000.00,0.5431,Residential,Single Family,01 - Family,,,POINT (-72.556613038 41.900422979),-72.556613038,41.900422979
220031,2022,10/21/2022,Avon,38 LORD DAVIS LANE,462850.00,860000.00,0.5381,Residential,Single Family,,,,POINT (-72.82564799 41.792693982),-72.82564799,41.792693982
220879,2022,08/21/2023,Hartford,45-51 WILLARD ST UNIT 3EL,14222.00,69900.00,0.2034,Residential,Condo,,,,POINT (-72.695043018 41.772539989),-72.695043018,41.772539989
220040,2022,11/01/2022,New Canaan,PASTURES LA,675150.00,1450000.00,0.4656,Vacant Land,,,MAP/BLOCK/LOT = 44 109 246,,POINT (-73.465820715 41.156479755),-73.465820715,41.156479755
2200166,2022,01/27/2023,New Milford,28 BIRCHWOOD DR,168140.00,400000.00,0.4204,Residential,Single Family,,SALES RATIO,,POINT (-73.412279037 41.59633298),-73.412279037,41.59633298
221641,2022,02/07/2023,Manchester,34J GARDEN DRIVE & 14A GARDEN,79800.00,165000.00,0.4836,Residential,Condo,25 - Other,SALES PRICE INCLUDES TWO PARCELS,,POINT (-72.522214964 41.768185004),-72.522214964,41.768185004
22211,2022,04/28/2023,Montville,41 CAROL DR,206410.00,355000.00,0.5814,Residential,Single Family,,,,POINT (-72.147517992 41.452868996),-72.147517992,41.452868996
220025,2022,10/11/2022,Meriden,16 NO SPRING ST,113120.00,210000.00,0.5386,Residential,Single Family,,,,POINT (-72.808251014 41.543141003),-72.808251014,41.543141003
220082,2022,12/12/2022,Madison,24A WILSHIRE RD,233100.00,210000.00,1.1100,Residential,Condo,08 - Part Interest,sale of 1/2 interest,,POINT (-72.581078975 41.280806),-72.581078975,41.280806
22138,2022,09/18/2023,Beacon Falls,104 FIELDSTONE LANE,0.00,616335.00,0.0000,Residential,Condo,07 - Change in Property,NEW CONSTRUCTION,,POINT (-73.038394587 41.426291767),-73.038394587,41.426291767
2222100,2022,02/21/2023,Ansonia,124 TREMONT ST,120960.00,105000.00,1.1520,Residential,Single Family,26 - Rehabilitation Deferred,SOLD OUT OF FCL WITHOUT REPAIRING,,POINT (-73.074479035 41.342346017),-73.074479035,41.342346017
220249,2022,01/17/2023,Greenwich,110 SHEEPHILL ROAD,509600.00,700000.00,0.7280,Residential,Single Family,,,,POINT (-73.58336399 41.049459982),-73.58336399,41.049459982
220252,2022,07/03/2023,Madison,258 OPENING HILL RD,236000.00,635000.00,0.3716,Residential,Single Family,,,,POINT (-72.632091992 41.320242016),-72.632091992,41.320242016
2200060,2022,11/14/2022,New Milford,36 MIST HILL DR,198190.00,455000.00,0.4356,Residential,Single Family,,SALES RATIO,,POINT (-73.435065995 41.504396997),-73.435065995,41.504396997
220156,2022,08/18/2023,North Branford,15 CONIFER DR,184000.00,457000.00,0.4026,Residential,Single Family,,,,POINT (-72.75963372 41.284453859),-72.75963372,41.284453859
220211,2022,01/18/2023,Litchfield,104 MEADOW ST,137910.00,513000.00,0.2688,Residential,Single Family,07 - Change in Property,,TOTAL RENOVATION PER MLS,POINT (-73.191140039 41.743092016),-73.191140039,41.743092016
220147,2022,05/02/2023,Colchester,30 VICKI LN,139800.00,265000.00,0.5275,Residential,Single Family,,CONDO,,POINT (-72.341351012 41.582668005),-72.341351012,41.582668005
220127,2022,05/08/2023,Coventry,10 MARK DR,150900.00,310000.00,0.4867,Residential,Single Family,,,,POINT (-72.386269966 41.798926011),-72.386269966,41.798926011
2200461,2022,06/26/2023,East Hartford,7 STRAWBERRY LN,181350.00,360000.00,0.5037,Residential,Condo,,,,POINT (-72.603793197 41.764480413),-72.603793197,41.764480413
22079,2022,08/14/2023,Columbia,6 STRICKLAND ROAD,142100.00,355000.00,0.4002,Residential,Single Family,,,,POINT (-72.300806992 41.72348599),-72.300806992,41.72348599
220748,2022,06/06/2023,Milford,49 AUDUBON CLOSE,259460.00,455000.00,0.5702,Residential,Condo,,,,POINT (-73.086763701 41.218971024),-73.086763701,41.218971024
2200337,2022,05/08/2023,Naugatuck,181 GORMAN ST,193270.00,290000.00,0.6664,Residential,Single Family,,,,POINT (-73.057543986 41.479456016),-73.057543986,41.479456016
220115,2022,02/06/2023,Killingly,491 WESTCOTT RD,105980.00,150000.00,0.7065,Residential,Single Family,,,,POINT (-71.852001004 41.798666004),-71.852001004,41.798666004
220473,2022,01/30/2023,Fairfield,13 BOND STREET,272370.00,390000.00,0.6983,Residential,Single Family,,,,POINT (-73.240941033 41.20279898),-73.240941033,41.20279898
220287,2022,08/21/2023,Griswold,29 TRACY AVE,175140.00,407500.00,0.4297,Apartments,,,MULTI-FAM APTS,,POINT (-71.982067019 41.607687986),-71.982067019,41.607687986
220559,2022,05/08/2023,Hamden,900 SHERMAN AVE,248640.00,10000.00,24.8640,Vacant Land,,25 - Other,LOW SALES PRICE; MULTIPLE DEEDS,,POINT (-72.915693688 41.400127449),-72.915693688,41.400127449
220891,2022,08/29/2023,New Haven,646 WOODWARD AV,183750.00,340000.00,0.5404,Residential,Single Family,,,,POINT (-72.895753976 41.286430006),-72.895753976,41.286430006
220455,2022,03/30/2023,Meriden,50 SUNBRIGHT DR NO,118580.00,125000.00,0.9486,Residential,Single Family,09 - Tax,TAX SALE BY TOWN,,POINT (-72.772019986 41.536752987),-72.772019986,41.536752987
220679,2022,02/17/2023,Bridgeport,518 NOBLE AVE #520,158385.00,415000.00,0.3816,Residential,Three Family,,,,POINT (-73.184111981 41.188650998),-73.184111981,41.188650998
2200031,2022,10/28/2022,East Haven,65 RUSSO AVE #A5,95130.00,158100.00,0.6017,Residential,Condo,,,,POINT (-72.858776037 41.315438012),-72.858776037,41.315438012
222323,2022,08/21/2023,Bridgeport,2660 NORTH AVE UNIT 240,96190.00,260000.00,0.3699,Residential,Condo,,,,POINT (-73.22075498 41.177351983),-73.22075498,41.177351983
22000028,2022,07/25/2023,Hampton,981 PUDDING HILL RD,126540.00,340000.00,0.3721,Residential,Single Family,,,,POINT (-72.058875008 41.764582001),-72.058875008,41.764582001
220087,2022,06/21/2023,Easton,15 ORCHARD LANE,286300.00,801000.00,0.3574,Residential,Single Family,,,,POINT (-73.301222005 41.260810006),-73.301222005,41.260810006
220199,2022,07/20/2023,Colchester,28 COLBURN DR,56500.00,76000.00,0.7434,Vacant Land,,,,,POINT (-72.270165017 41.543433993),-72.270165017,41.543433993
2200341,2022,05/11/2023,Naugatuck,80 NORTH HOADLEY ST,171570.00,294900.00,0.5817,Residential,Single Family,,,,POINT (-73.065332031 41.496816991),-73.065332031,41.496816991
220006,2022,10/10/2022,Bloomfield,5 STILLMAN RD,159950.00,340000.00,0.4704,Residential,Single Family,,,,POINT (-72.729759017 41.810437004),-72.729759017,41.810437004
220585,2022,06/27/2023,Branford,27 BRAINERD RD UNIT B,184700.00,390000.00,0.4735,Residential,Single Family,,DUPLEX,,POINT (-72.843331039 41.277166997),-72.843331039,41.277166997
220910,2022,09/05/2023,New Haven,29 ASSUMPTION ST,144270.00,240000.00,0.6011,Residential,Single Family,,,,POINT (-72.870724021 41.328406996),-72.870724021,41.328406996
220009,2022,10/11/2022,Colchester,43 CATO CORNER RD,215500.00,322900.00,0.6673,Residential,Single Family,,,,POINT (-72.381113 41.559651006),-72.381113,41.559651006
22015,2022,10/24/2022,Columbia,28 CHESBRO BRIDGE ROAD,304080.00,810000.00,0.3754,Residential,Single Family,,ALSO LAND SALE CHESBRO BRIDGE ROAD,,POINT (-72.296247991 41.663843008),-72.296247991,41.663843008
220036,2022,04/18/2023,Bethlehem,11 MAIN ST S,317500.00,620000.00,0.5120,Residential,Single Family,,,,POINT (-73.208120015 41.638616999),-73.208120015,41.638616999
220527,2022,03/06/2023,Fairfield,240 SUNNYRIDGE AVE  UNIT 77,159320.00,301000.00,0.5293,Residential,Condo,07 - Change in Property,UPDATES & UPGRADES,,POINT (-73.238502989 41.167896987),-73.238502989,41.167896987
222124,2022,07/05/2023,Bridgeport,173 BENNETT ST,138730.00,370000.00,0.3749,Residential,Single Family,,,,POINT (-73.230219992 41.158150007),-73.230219992,41.158150007
2200390,2022,05/22/2023,East Hartford,45 BRIARWOOD LN,207650.00,275000.00,0.7550,Residential,Single Family,25 - Other,ESTATE,,POINT (-72.603677005 41.761817984),-72.603677005,41.761817984
221968,2022,07/27/2023,Manchester,935 MAIN STREET UNIT D2,110400.00,162000.00,0.6814,Commercial,,,,,POINT (-72.520127032 41.769394009),-72.520127032,41.769394009
220004,2022,10/12/2022,Hebron,80 WELLSWOOD RD UNIT 8,81900.00,150000.00,0.5460,Residential,Condo,,,,POINT (-72.345104009 41.661088002),-72.345104009,41.661088002
221033,2022,09/01/2023,Milford,25 AUGUSTA DR,441870.00,768000.00,0.5753,Residential,Single Family,,,,POINT (-73.078565967 41.270284993),-73.078565967,41.270284993
220553,2022,03/21/2023,Fairfield,1319 STILLSON ROAD,600880.00,1365000.00,0.4402,Residential,Single Family,07 - Change in Property,UPDATES & UPGRADES,,POINT (-73.26396302 41.173066986),-73.26396302,41.173066986
220270,2022,03/02/2023,Enfield,4 HOWARD ST,141400.00,269900.00,0.5238,Residential,Single Family,,,,POINT (-72.567002993 41.967453981),-72.567002993,41.967453981
221932,2022,05/25/2023,Bridgeport,22 EVERGREEN ST,167640.00,440000.00,0.3810,Residential,Three Family,,,,POINT (-73.192882972 41.195695988),-73.192882972,41.195695988
220278,2022,01/24/2023,New Haven,132 DERBY AV,191800.00,278000.00,0.6899,Residential,Three Family,,,,POINT (-72.950664998 41.310376013),-72.950664998,41.310376013
220684,2022,06/16/2023,Hamden,75 SANTA FE AVE,388640.00,818500.00,0.4748,Residential,Single Family,,,,POINT (-72.90641802 41.362399008),-72.90641802,41.362399008
220054,2022,05/04/2023,Lisbon,78 RIMEK RD,124370.00,225000.00,0.5527,Residential,Single Family,,W0177700,,POINT (-72.023149995 41.560590994),-72.023149995,41.560590994
22134,2022,02/23/2023,North Haven,6 LIBERTY TERR,203380.00,260000.00,0.7822,Residential,Single Family,26 - Rehabilitation Deferred,,,POINT (-72.877842017 41.392408987),-72.877842017,41.392408987
22312,2022,06/21/2023,Darien,16 PLYMOUTH ROAD,1595160.00,3195000.00,0.4992,Residential,Single Family,,,,POINT (-73.487627988 41.046431014),-73.487627988,41.046431014
220900,2022,08/16/2023,Hamden,34 SQUIRE LA,207130.00,490000.00,0.4227,Residential,Single Family,,,,POINT (-72.882042021 41.445087991),-72.882042021,41.445087991
220297,2022,09/22/2023,Brookfield,69 OBTUSE ROAD SOUTH,84040.00,140000.00,0.6002,Vacant Land,,,,,POINT (-73.361423483 41.466106954),-73.361423483,41.466106954
220345,2022,03/10/2023,Greenwich,9 ROBIN PLACE,1471470.00,2585000.00,0.5692,Residential,Single Family,,,,POINT (-73.571617004 41.056319983),-73.571617004,41.056319983
22100,2022,06/08/2023,Burlington,451 SPIELMAN HWY,143570.00,330000.00,0.4351,Residential,Single Family,,,GOOD SALE PER MLS,POINT (-72.996270011 41.776912996),-72.996270011,41.776912996
220244,2022,07/13/2023,Ledyard,10 HERMITAGE DR,201530.00,460000.00,0.4381,Residential,Single Family,,,,POINT (-72.065898037 41.417726987),-72.065898037,41.417726987
2200398,2022,06/27/2023,Naugatuck,6 PINEWOOD CROSSING SOUTH,282590.00,525000.00,0.5382,Residential,Single Family,,,,POINT (-73.013875025 41.499909997),-73.013875025,41.499909997
220506,2022,04/21/2023,Branford,ANCHOR REEF CLUB 17E,137000.00,275000.00,0.4981,Residential,Condo,,,,POINT (-72.773544965 41.265420919),-72.773544965,41.265420919
